type,value
CCN(worst),5
CCN(average),1.6
CCN(violate),0
LOC(worst),50
LOC(average),18.5
LOC(violate),0
Parameter(worst),3
Parameter(average),1.3
Parameter(violate),0
Token(worst),377
Token(average),122.3
CCN(warning),0
LOC(warning),0
Parameter(warning),0
