type,value
CCN(worst),5
CCN(average),1.8
CCN(violate),0
LOC(worst),36
LOC(average),15.8
LOC(violate),0
Parameter(worst),2
Parameter(average),1.0
Parameter(violate),0
Token(worst),249
Token(average),101.5
CCN(warning),0
LOC(warning),0
Parameter(warning),0
