type,value
CCN(worst),1
CCN(average),1.0
CCN(violate),0
LOC(worst),4
LOC(average),4.0
LOC(violate),0
Parameter(worst),2
Parameter(average),2.0
Parameter(violate),0
Token(worst),30
Token(average),26.0
