type,value
CCN(worst),10
CCN(average),2.5
CCN(violate),0
LOC(worst),64
LOC(average),16.5
LOC(violate),0
Parameter(worst),3
Parameter(average),1.8
Parameter(violate),0
Token(worst),536
Token(average),130.5
