type,value
CCN(worst),22
CCN(average),6.2
CCN(violate),1
LOC(worst),108
LOC(average),39.0
LOC(violate),0
Parameter(worst),11
Parameter(average),1.5
Parameter(violate),1
Token(worst),681
Token(average),260.1
CCN(warning),6
LOC(warning),0
Parameter(warning),0
