type,value
CCN(worst),12
CCN(average),2.225
CCN(violate),0
LOC(worst),61
LOC(average),15.075
LOC(violate),0
Parameter(worst),7
Parameter(average),1.025
Parameter(violate),1
Token(worst),437
Token(average),124.725
