type,value
CCN(worst),1
CCN(average),1.0
CCN(violate),0
LOC(worst),138
LOC(average),65.375
LOC(violate),0
Parameter(worst),0
Parameter(average),0.0
Parameter(violate),0
Token(worst),513
Token(average),260.625
