type,value
CCN(worst),4
CCN(average),2.6
CCN(violate),0
LOC(worst),47
LOC(average),16.1
LOC(violate),0
Parameter(worst),3
Parameter(average),1.4
Parameter(violate),0
Token(worst),369
Token(average),113.3
CCN(warning),0
LOC(warning),0
Parameter(warning),0
