type,value
CCN(worst),2
CCN(average),1.2
CCN(violate),0
LOC(worst),65
LOC(average),13.1
LOC(violate),0
Parameter(worst),2
Parameter(average),1.9
Parameter(violate),0
Token(worst),784
Token(average),127.5
CCN(warning),0
LOC(warning),0
Parameter(warning),0
