type,value
CCN(worst),6
CCN(average),2.0
CCN(violate),0
LOC(worst),23
LOC(average),8.5
LOC(violate),0
Parameter(worst),4
Parameter(average),1.6666666666666667
Parameter(violate),0
Token(worst),153
Token(average),52.333333333333336
