type,value
CCN(worst),1
CCN(average),1.0
CCN(violate),0
LOC(worst),196
LOC(average),103.63636363636364
LOC(violate),0
Parameter(worst),2
Parameter(average),0.5454545454545454
Parameter(violate),0
Token(worst),799
Token(average),432.90909090909093
