type,value
CCN(worst),26
CCN(average),4.8478260869565215
CCN(violate),1
LOC(worst),103
LOC(average),24.717391304347824
LOC(violate),0
Parameter(worst),3
Parameter(average),1.0
Parameter(violate),0
Token(worst),948
Token(average),197.6086956521739
