type,value
CCN(worst),4
CCN(average),1.7
CCN(violate),0
LOC(worst),48
LOC(average),14.8
LOC(violate),0
Parameter(worst),2
Parameter(average),1.0
Parameter(violate),0
Token(worst),447
Token(average),104.3
CCN(warning),0
LOC(warning),0
Parameter(warning),0
