type,value
CCN(worst),205
CCN(average),3.4081632653061225
CCN(violate),4
LOC(worst),1088
LOC(average),12.204081632653061
LOC(violate),1
Parameter(worst),7
Parameter(average),1.3673469387755102
Parameter(violate),1
Token(worst),7396
Token(average),85.87074829931973
