type,value
CCN(worst),5
CCN(average),1.7
CCN(violate),0
LOC(worst),42
LOC(average),15.1
LOC(violate),0
Parameter(worst),8
Parameter(average),1.6
Parameter(violate),1
Token(worst),460
Token(average),109.5
CCN(warning),0
LOC(warning),0
Parameter(warning),0
