type,value
CCN(worst),4
CCN(average),2.142857142857143
CCN(violate),0
LOC(worst),41
LOC(average),14.857142857142858
LOC(violate),0
Parameter(worst),3
Parameter(average),1.4285714285714286
Parameter(violate),0
Token(worst),276
Token(average),117.14285714285714
