type,value
CCN(worst),7
CCN(average),1.9
CCN(violate),0
LOC(worst),50
LOC(average),10.5
LOC(violate),0
Parameter(worst),7
Parameter(average),1.1
Parameter(violate),1
Token(worst),541
Token(average),84.4
CCN(warning),2
LOC(warning),0
Parameter(warning),0
