type,value
CCN(worst),5
CCN(average),2.8
CCN(violate),0
LOC(worst),32
LOC(average),21.3
LOC(violate),0
Parameter(worst),4
Parameter(average),1.3
Parameter(violate),0
Token(worst),240
Token(average),153.8
