type,value
CCN(worst),26
CCN(average),6.8
CCN(violate),1
LOC(worst),76
LOC(average),46.0
LOC(violate),0
Parameter(worst),5
Parameter(average),1.6
Parameter(violate),0
Token(worst),580
Token(average),315.0
CCN(warning),1
LOC(warning),0
Parameter(warning),0
