type,value
CCN(worst),5
CCN(average),1.4
CCN(violate),0
LOC(worst),35
LOC(average),7.6
LOC(violate),0
Parameter(worst),4
Parameter(average),0.8
Parameter(violate),0
Token(worst),277
Token(average),44.6
CCN(warning),0
LOC(warning),0
Parameter(warning),0
