type,value
CCN(worst),1
CCN(average),1.0
CCN(violate),0
LOC(worst),256
LOC(average),205.0
LOC(violate),3
Parameter(worst),0
Parameter(average),0.0
Parameter(violate),0
Token(worst),997
Token(average),811.0
