type,value
CCN(worst),5
CCN(average),1.8
CCN(violate),0
LOC(worst),32
LOC(average),8.9
LOC(violate),0
Parameter(worst),4
Parameter(average),1.3
Parameter(violate),0
Token(worst),666
Token(average),82.5
