type,value
CCN(worst),21
CCN(average),1.8
CCN(violate),1
LOC(worst),81
LOC(average),9.0
LOC(violate),0
Parameter(worst),4
Parameter(average),0.8
Parameter(violate),0
Token(worst),770
Token(average),67.6
CCN(warning),4
LOC(warning),0
Parameter(warning),0
