type,value
CCN(worst),8
CCN(average),2.6
CCN(violate),0
LOC(worst),25
LOC(average),16.4
LOC(violate),0
Parameter(worst),2
Parameter(average),1.0
Parameter(violate),0
Token(worst),187
Token(average),112.6
