type,value
CCN(worst),26
CCN(average),4.3
CCN(violate),1
LOC(worst),145
LOC(average),31.0
LOC(violate),0
Parameter(worst),13
Parameter(average),1.8
Parameter(violate),1
Token(worst),1239
Token(average),229.0
CCN(warning),3
LOC(warning),0
Parameter(warning),0
