type,value
CCN(worst),12
CCN(average),2.8125
CCN(violate),0
LOC(worst),39
LOC(average),15.84375
LOC(violate),0
Parameter(worst),5
Parameter(average),1.5625
Parameter(violate),0
Token(worst),320
Token(average),113.59375
