type,value
CCN(worst),5
CCN(average),1.8
CCN(violate),0
LOC(worst),41
LOC(average),12.8
LOC(violate),0
Parameter(worst),6
Parameter(average),1.6666666666666667
Parameter(violate),0
Token(worst),384
Token(average),87.8
