type,value
CCN(worst),2
CCN(average),1.4
CCN(violate),0
LOC(worst),18
LOC(average),9.9
LOC(violate),0
Parameter(worst),3
Parameter(average),1.1
Parameter(violate),0
Token(worst),133
Token(average),73.4
CCN(warning),0
LOC(warning),0
Parameter(warning),0
