type,value
CCN(worst),4
CCN(average),1.6
CCN(violate),0
LOC(worst),22
LOC(average),10.9
LOC(violate),0
Parameter(worst),5
Parameter(average),1.9
Parameter(violate),0
Token(worst),241
Token(average),83.9
CCN(warning),0
LOC(warning),0
Parameter(warning),0
