type,value
CCN(worst),5
CCN(average),2.4
CCN(violate),0
LOC(worst),45
LOC(average),15.0
LOC(violate),0
Parameter(worst),2
Parameter(average),0.8
Parameter(violate),0
Token(worst),412
Token(average),116.9
type,value
CCN(warning),0
LOC(warning),0
Parameter(warning),0
