type,value
CCN(worst),7
CCN(average),1.6216216216216217
CCN(violate),0
LOC(worst),43
LOC(average),12.324324324324325
LOC(violate),0
Parameter(worst),3
Parameter(average),0.8648648648648649
Parameter(violate),0
Token(worst),401
Token(average),93.29729729729729
