type,value
CCN(worst),3
CCN(average),1.375
CCN(violate),0
LOC(worst),50
LOC(average),29.125
LOC(violate),0
Parameter(worst),6
Parameter(average),1.75
Parameter(violate),0
Token(worst),486
Token(average),204.875
