type,value
CCN(worst),12
CCN(average),3.5
CCN(violate),0
LOC(worst),96
LOC(average),25.7
LOC(violate),0
Parameter(worst),2
Parameter(average),1.0
Parameter(violate),0
Token(worst),809
Token(average),188.3
CCN(warning),2
LOC(warning),0
Parameter(warning),0
